,23183-1,23183-2,23183-3,23183-4,23183-5,22714-1,22714-2,22714-3,22714-4,22714-5,40351-1,40351-2,40351-3,40351-4,40351-5,19657-1,19657-2,19657-3,19657-4,19657-5,10305-1,10305-2,10305-3,10305-4,10305-5
"SSIM - max[0,1]",0.5629422664642334,0.12265056371688843,0.21683214604854584,0.9478558897972107,0.1317797750234604,0.42714765667915344,0.8632640838623047,0.10267477482557297,0.7179677486419678,0.5018491148948669,0.4948645234107971,0.7389259934425354,0.7473193407058716,0.5314246416091919,0.1977929174900055,0.10949315875768661,0.5813750624656677,0.36256879568099976,0.9934800267219543,0.9913361072540283,0.8933255672454834,0.993596613407135,0.8293645977973938,0.6405853033065796,0.4053308665752411
"FSIM - max[0,1]",0.8220283389091492,0.5548115372657776,0.8121494054794312,0.9643654823303223,0.5741451382637024,0.7597588300704956,0.9142943024635315,0.5857713222503662,0.804803729057312,0.7832117080688477,0.7936797142028809,0.9012373685836792,0.902842104434967,0.8066842555999756,0.5611414313316345,0.6195148825645447,0.7418203949928284,0.6433361768722534,0.9563860297203064,0.9555323719978333,0.9255822896957397,0.9951591491699219,0.8923093676567078,0.8054438829421997,0.7488265037536621
"VSI - max[0,1]",0.8622081875801086,0.6138959527015686,0.7655425667762756,0.9384174346923828,0.6883681416511536,0.8161566257476807,0.9360883831977844,0.6129774451255798,0.7266188263893127,0.8316844701766968,0.8842153549194336,0.9061833620071411,0.9083163738250732,0.8912056088447571,0.6863225698471069,0.6651841402053833,0.7666485905647278,0.6821178197860718,0.9568746089935303,0.9569242000579834,0.930907130241394,0.9980369806289673,0.8982721567153931,0.8482268452644348,0.7759232521057129
"HaarPSI - max[0,1]",0.6231509447097778,0.3787202537059784,0.61832195520401,0.9332733750343323,0.33645129203796387,0.5058531761169434,0.7705122828483582,0.4208277761936188,0.6755071878433228,0.5451062321662903,0.5803976058959961,0.6737262606620789,0.6762211322784424,0.5875355005264282,0.3515797257423401,0.2758937180042267,0.5716914534568787,0.42542406916618347,0.8438417911529541,0.8173961639404297,0.835964024066925,0.9944548010826111,0.7867899537086487,0.6086090207099915,0.5467333197593689
"HSIM - max[0,1]",0.9674686193466187,0.9517658352851868,0.8002464175224304,0.8623860478401184,0.9432601928710938,0.9163783192634583,0.9461678862571716,0.7339935302734375,0.5784853100776672,0.9174981713294983,0.8729565143585205,0.9249279499053955,0.9181457757949829,0.9315900206565857,0.8976734280586243,0.7645663619041443,0.7126457095146179,0.6597971320152283,0.9699375629425049,0.9707097411155701,0.7504864931106567,0.989633321762085,0.6431877017021179,0.8265687823295593,0.8266133666038513
"MSE - min[0,inf]",0.02375143952667713,0.1665296107530594,0.18358244001865387,0.0046365829184651375,0.07648400962352753,0.021702593192458153,0.0043808273039758205,0.03611215576529503,0.0594252310693264,0.018369654193520546,0.026422759518027306,0.021278752014040947,0.020941326394677162,0.023383423686027527,0.07359300553798676,0.07073093205690384,0.08322450518608093,0.119837187230587,0.010292471386492252,0.011145553551614285,0.021909624338150024,0.0001366111246170476,0.04076637327671051,0.02167333848774433,0.03766978159546852
"ERGAS - min[0,inf]",109.61119079589844,291.64080810546875,305.18316650390625,48.784400939941406,197.41622924804688,127.13794708251953,51.90188217163086,167.99586486816406,233.37159729003906,119.9020767211914,138.1971435546875,111.93536376953125,111.05219268798828,129.9573974609375,226.95541381835938,423.0184631347656,462.495849609375,554.002685546875,160.36289978027344,166.55307006835938,148.77761840820312,11.964620590209961,204.79444885253906,149.91224670410156,197.59060668945312
"GMSD - min[0,inf]",0.15145041048526764,0.3058159351348877,0.2291790097951889,0.029601873829960823,0.27889665961265564,0.181523859500885,0.0831659808754921,0.28769537806510925,0.07202550768852234,0.16363608837127686,0.11982505023479462,0.20237518846988678,0.20447663962841034,0.11434845626354218,0.3246653974056244,0.3134620487689972,0.18624337017536163,0.22755208611488342,0.04268363118171692,0.042828142642974854,0.07362481951713562,0.003090466372668743,0.06120291352272034,0.12572571635246277,0.1639740914106369
"PSNR - max[0,inf]",16.243099212646484,7.785085201263428,7.361688613891602,23.3380184173584,11.164292335510254,14.86534595489502,21.814899444580078,12.653928756713867,10.490754127502441,15.589452743530273,14.921652793884277,15.86197280883789,15.93139362335205,15.452354431152344,10.47307014465332,9.940694808959961,9.234275817871094,7.650871753692627,18.31159019470215,17.965770721435547,16.593650817871094,38.645137786865234,13.896978378295898,16.6407413482666,14.240068435668945
